text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"Welcome back to Earth, @StationCDRKelly! Your year in space is vital to the future of American space travel. Hope gravity isn't a drag!",FALSE,39329,NA,2016-03-02 18:01:28,FALSE,NA,7.05090664086774E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,10980,FALSE,FALSE,NA,NA
Play ball! https://t.co/S4DhVYa4Ef,FALSE,6140,NA,2016-03-02 00:34:29,FALSE,NA,7.04827179167846E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,2170,FALSE,FALSE,NA,NA
"Isiah, I'm so proud of you. Your kindness and willingness to help others is why I'm so hopeful for our future. https://t.co/RakSNxe7rk",FALSE,12452,NA,2016-02-26 23:23:57,FALSE,NA,7.03359876483977E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,4975,FALSE,FALSE,NA,NA
We've made big strides in the fight against Malaria - saving millions of lives. That's American leadership at work. https://t.co/jVdeE4Qktw,FALSE,7061,NA,2016-02-22 20:49:53,FALSE,NA,7.01871557002408E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,2443,FALSE,FALSE,NA,NA
Here's how we're looking at the road ahead: https://t.co/a0KcsmpF39,FALSE,4578,POTUS44,2016-02-18 14:07:58,FALSE,7.00320240022921E+017,7.0032085685819E+017,1536791610,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,1969,FALSE,FALSE,NA,NA
"Next month, I'll travel to Cuba to advance our progress and efforts that can improve the lives of the Cuban people.",FALSE,12366,POTUS44,2016-02-18 14:05:31,FALSE,7.00319754054074E+017,7.00320240022921E+017,1536791610,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,6481,FALSE,FALSE,NA,NA
We still have differences with the Cuban government that I will raise directly. America will always stand for human rights around the world.,FALSE,4861,POTUS44,2016-02-18 14:03:35,FALSE,7.00319236451742E+017,7.00319754054074E+017,1536791610,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,2300,FALSE,FALSE,NA,NA
Our flag flies over our Embassy in Havana once again. More Americans are traveling to Cuba than at any time in the last 50 years.,FALSE,4936,POTUS44,2016-02-18 14:01:31,FALSE,7.00318872147067E+017,7.00319236451742E+017,1536791610,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,2156,FALSE,FALSE,NA,NA
"14 months ago, I announced that we would begin normalizing relations with Cuba - and we've already made significant progress.",FALSE,11409,NA,2016-02-18 14:00:05,FALSE,NA,7.00318872147067E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,3015,FALSE,FALSE,NA,NA
Got a view yesterday of the lands we protected in CA. We owe it to our kids to preserve America's natural beauty. https://t.co/8OR9MrupyG,FALSE,25348,NA,2016-02-13 18:30:11,FALSE,NA,6.98574908247425E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,6730,FALSE,FALSE,NA,NA
Einstein was right! Congrats to @NSF and @LIGO on detecting gravitational waves - a huge breakthrough in how we understand the universe.,FALSE,20126,NA,2016-02-11 23:43:14,FALSE,NA,6.97928913457189E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,8597,FALSE,FALSE,NA,NA
"Way to ace your AP Calc test, Landon! You should come drop some knowledge at the White House Science Fair: https://t.co/hFaAgxVdEE",FALSE,5632,NA,2016-02-11 16:48:18,FALSE,NA,6.97824490344968E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,1461,FALSE,FALSE,NA,NA
"Just got off the phone with Coach Kubiak. Congrats to Peyton, Von Miller, and that monster @Broncos defense - see you at the White House!",FALSE,15670,NA,2016-02-09 22:30:32,FALSE,NA,6.9718584220969E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,5799,FALSE,FALSE,NA,NA
Just got great news - nearly 13 million Americans signed up this round for private health insurance thanks to the Affordable Care Act.,FALSE,14509,NA,2016-02-04 23:00:08,FALSE,NA,6.95381352988848E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,3738,FALSE,FALSE,NA,NA
Cedrick; way to go on your perfect score! How about you come by the next White House Science Fair? https://t.co/r8TGIJICh7,FALSE,6737,NA,2016-01-31 17:01:26,FALSE,NA,6.93841529169953E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,1948,FALSE,FALSE,NA,NA
"If you or someone you care about needs affordable health coverage, head over to https://t.co/A3qPizu4p2. Today's the last day to sign up!",FALSE,5531,NA,2016-01-31 15:30:44,FALSE,NA,6.93818704019194E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,3159,FALSE,FALSE,NA,NA
We just took an important step on equal pay. Let's keep at it until every woman &amp; girl gets a fair shot at success: https://t.co/OJAsaK6ImG,FALSE,8272,NA,2016-01-29 17:00:33,FALSE,NA,6.93116531064967E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,4229,FALSE,FALSE,NA,NA
The science couldn't be clearer - we owe it to our kids to do everything we can to combat climate change. https://t.co/497Wkkve58,FALSE,25208,NA,2016-01-25 21:33:47,FALSE,NA,6.9173574064905E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,15716,FALSE,FALSE,NA,NA
